symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,net_pnl_usd,r_multiple_net
GBPUSD,SELL,0.3,2026-07-28 16:00:00+00:00,1.33093,1.3317420899360228,1.3292119999999998,2026-07-28 17:58:00+00:00,1.3292119999999998,TP,50.04,2.054
EURUSD,SELL,0.4,2026-07-28 16:00:00+00:00,1.14009,1.1407086004192197,1.1370995000000002,2026-07-29 18:00:00+00:00,1.1407086004192197,SL,-26.744,-1.0808
EURUSD,SELL,0.35,2026-07-29 19:00:00+00:00,1.14521,1.1459063537793446,1.1393395,2026-07-29 19:15:00+00:00,1.1459063537793446,SL,-26.1224,-1.0718
GBPUSD,SELL,0.26,2026-07-29 19:00:00+00:00,1.33651,1.3374425319080512,1.3296994999999998,2026-07-29 19:15:00+00:00,1.3374425319080512,SL,-25.5458,-1.0536
EURUSD,SELL,0.09,2026-07-29 20:00:00+00:00,1.1448,1.1473941142236772,1.1396484999999998,2026-07-29 23:04:00+00:00,1.1473941142236772,SL,-23.797,-1.0193
GBPUSD,SELL,0.04,2026-07-29 20:00:00+00:00,1.33462,1.339650208200333,1.329996,2026-07-30 10:16:00+00:00,1.339650208200333,SL,-20.3208,-1.0099
EURUSD,SELL,0.29,2026-07-30 14:00:00+00:00,1.15237,1.153222926604302,1.1461010000000003,2026-07-30 14:02:00+00:00,1.153222926604302,SL,-26.1849,-1.0586
GBPUSD,SELL,0.22,2026-07-30 14:00:00+00:00,1.34281,1.3439274287929222,1.3362709999999995,2026-07-30 14:02:00+00:00,1.3439274287929222,SL,-25.6834,-1.0447
GBPUSD,SELL,0.07,2026-07-30 15:00:00+00:00,1.34247,1.3458947553077136,1.3365699999999996,2026-07-30 15:44:00+00:00,1.3458947553077136,SL,-24.3233,-1.0146
GBPUSD,SELL,0.15,2026-07-30 16:00:00+00:00,1.3459,1.3474837013571626,1.3371345,2026-07-30 18:00:00+00:00,1.3474837013571626,SL,-24.5055,-1.0316
EURUSD,SELL,0.19,2026-07-30 16:00:00+00:00,1.15211,1.153417574470036,1.1467230000000002,2026-07-30 18:09:00+00:00,1.153417574470036,SL,-25.7939,-1.0382
GBPUSD,SELL,0.19,2026-07-30 18:00:00+00:00,1.3472,1.3484532935171454,1.3382094999999998,2026-07-31 17:37:00+00:00,1.3484532935171454,SL,-24.7626,-1.0399
GBPUSD,BUY,0.27,2026-08-03 15:00:00+00:00,1.3438400000000001,1.3429346147449277,1.3469499999999999,2026-08-03 15:09:00+00:00,1.3429346147449277,SL,-25.7954,-1.0552
EURUSD,BUY,0.22,2026-08-03 15:00:00+00:00,1.1515,1.1503715363244609,1.1531904999999998,2026-08-03 15:10:00+00:00,1.1503715363244609,SL,-25.9262,-1.0443
EURUSD,BUY,0.14,2026-08-03 16:00:00+00:00,1.15106,1.1493774980155709,1.1530809999999998,2026-08-04 14:17:00+00:00,1.1530809999999998,TP,27.594,1.1715
EURUSD,SELL,0.19,2026-08-04 15:00:00+00:00,1.1523,1.153586838217025,1.151098,2026-08-05 00:23:00+00:00,1.153586838217025,SL,-25.3999,-1.0389
GBPUSD,BUY,0.11,2026-08-03 16:00:00+00:00,1.3435300000000001,1.3414353565488615,1.3467355,2026-08-05 06:57:00+00:00,1.3467355,TP,34.7105,1.5065
GBPUSD,SELL,0.41,2026-08-05 07:00:00+00:00,1.34666,1.347258422344244,1.3450355,2026-08-05 11:05:00+00:00,1.347258422344244,SL,-26.5853,-1.0836
EURUSD,SELL,0.45,2026-08-05 07:00:00+00:00,1.15445,1.1549993983239988,1.1529104999999997,2026-08-05 11:27:00+00:00,1.1549993983239988,SL,-26.9729,-1.091
EURUSD,SELL,0.35,2026-08-05 12:00:00+00:00,1.15528,1.1559874099183234,1.1534185000000003,2026-08-05 18:27:00+00:00,1.1559874099183234,SL,-26.5093,-1.0707
GBPUSD,SELL,0.28,2026-08-05 12:00:00+00:00,1.3479,1.348772731985671,1.3455299999999997,2026-08-06 09:41:00+00:00,1.3455299999999997,TP,64.96,2.6583
EURUSD,BUY,0.37,2026-08-06 10:00:00+00:00,1.15395,1.153274502183841,1.1550114999999999,2026-08-06 14:10:00+00:00,1.153274502183841,SL,-26.8434,-1.074
GBPUSD,SELL,0.34,2026-08-06 14:00:00+00:00,1.3477,1.348428046669305,1.346471,2026-08-06 15:02:00+00:00,1.346471,TP,40.086,1.6194
EURUSD,BUY,0.35,2026-08-06 16:00:00+00:00,1.15218,1.1514769066615105,1.1545975,2026-08-06 16:18:00+00:00,1.1514769066615105,SL,-26.3583,-1.0711
GBPUSD,BUY,0.22,2026-08-06 16:00:00+00:00,1.3455000000000001,1.34439920975963,1.3464045,2026-08-06 21:10:00+00:00,1.34439920975963,SL,-25.3174,-1.0454
GBPUSD,BUY,0.31,2026-08-07 10:00:00+00:00,1.3443200000000002,1.3435381616349682,1.3452525,2026-08-07 10:43:00+00:00,1.3435381616349682,SL,-25.787,-1.064
GBPUSD,BUY,0.29,2026-08-07 11:00:00+00:00,1.34385,1.3430050786610417,1.3451100000000002,2026-08-07 12:01:00+00:00,1.3451100000000002,TP,35.09,1.4321
EURUSD,SELL,0.78,2026-08-07 12:00:00+00:00,1.15332,1.1536371377720849,1.1523265,2026-08-07 12:01:00+00:00,1.1536371377720849,SL,-28.6367,-1.1577
GBPUSD,SELL,0.17,2026-08-07 13:00:00+00:00,1.34999,1.3514165903381832,1.3453100000000002,2026-08-10 14:06:00+00:00,1.3514165903381832,SL,-25.102,-1.035
EURUSD,SELL,0.19,2026-08-07 13:00:00+00:00,1.15726,1.1585594850740788,1.1525880000000002,2026-08-12 16:50:00+00:00,1.1525880000000002,TP,87.818,3.5568
EURUSD,BUY,0.42,2026-08-12 18:00:00+00:00,1.15224,1.1516585503774859,1.1538944999999998,2026-08-13 06:30:00+00:00,1.1516585503774859,SL,-26.5209,-1.086
GBPUSD,BUY,0.32,2026-08-12 19:00:00+00:00,1.3489200000000001,1.3481408358792817,1.3509335,2026-08-13 06:30:00+00:00,1.3481408358792817,SL,-26.5333,-1.0642
GBPUSD,SELL,0.21,2026-08-13 15:00:00+00:00,1.35072,1.3518745302094195,1.3492804999999999,2026-08-13 16:09:00+00:00,1.3492804999999999,TP,29.1795,1.2035
EURUSD,SELL,0.58,2026-08-13 13:00:00+00:00,1.15442,1.1548452992746392,1.1526495000000003,2026-08-13 16:19:00+00:00,1.1526495000000003,TP,99.789,4.0454
EURUSD,SELL,0.71,2026-08-14 08:00:00+00:00,1.15509,1.1554382075093137,1.1535445000000002,2026-08-14 08:00:00+00:00,1.1554382075093137,SL,-28.2727,-1.1436
GBPUSD,SELL,0.43,2026-08-14 08:00:00+00:00,1.3512,1.3517743684007861,1.3494175000000002,2026-08-14 08:00:00+00:00,1.3517743684007861,SL,-26.8478,-1.0871
GBPUSD,SELL,0.26,2026-08-14 09:00:00+00:00,1.35221,1.3531665563721587,1.3494860000000002,2026-08-14 11:02:00+00:00,1.3531665563721587,SL,-26.1705,-1.0523
EURUSD,SELL,0.48,2026-08-14 09:00:00+00:00,1.15558,1.1560904784015056,1.153604,2026-08-14 11:15:00+00:00,1.1560904784015056,SL,-26.903,-1.0979
EURUSD,SELL,0.25,2026-08-14 12:00:00+00:00,1.15654,1.157534222320739,1.1539380000000004,2026-08-14 12:30:00+00:00,1.157534222320739,SL,-26.1056,-1.0503
GBPUSD,SELL,0.19,2026-08-14 12:00:00+00:00,1.35348,1.3547326218475337,1.3499155000000003,2026-08-14 12:30:00+00:00,1.3547326218475337,SL,-24.7498,-1.0399
GBPUSD,SELL,0.14,2026-08-14 13:00:00+00:00,1.35383,1.35555243457271,1.3501790000000002,2026-08-14 13:38:00+00:00,1.35555243457271,SL,-24.8141,-1.029
EURUSD,SELL,0.15,2026-08-14 13:00:00+00:00,1.1566,1.1582357064406863,1.1541200000000003,2026-08-14 13:39:00+00:00,1.1582357064406863,SL,-25.2856,-1.0306
EURUSD,SELL,0.29,2026-08-14 14:00:00+00:00,1.15805,1.1588985131234943,1.1543825,2026-08-17 04:14:00+00:00,1.1588985131234943,SL,-26.0569,-1.0589
EURUSD,SELL,0.51,2026-08-17 07:00:00+00:00,1.15958,1.160061729763575,1.1575799999999996,2026-08-17 07:18:00+00:00,1.160061729763575,SL,-27.1182,-1.1038
GBPUSD,SELL,0.15,2026-08-14 14:00:00+00:00,1.35515,1.3567140463889449,1.350527,2026-08-17 07:30:00+00:00,1.3567140463889449,SL,-24.2107,-1.032
EURUSD,SELL,0.25,2026-08-17 08:00:00+00:00,1.16065,1.1616130347804623,1.1577869999999997,2026-08-17 17:40:00+00:00,1.1577869999999997,TP,70.325,2.921
GBPUSD,BUY,0.25,2026-08-17 19:00:00+00:00,1.3539800000000002,1.352989225838852,1.355411,2026-08-18 06:03:00+00:00,1.352989225838852,SL,-26.0194,-1.0505
GBPUSD,BUY,0.19,2026-08-18 07:00:00+00:00,1.3528300000000002,1.3515636014076637,1.3546179999999999,2026-08-18 14:18:00+00:00,1.3546179999999999,TP,33.022,1.3724
EURUSD,SELL,0.29,2026-08-19 03:00:00+00:00,1.15824,1.1590774880178467,1.1576875000000002,2026-08-19 06:04:00+00:00,1.1590774880178467,SL,-25.7372,-1.0597
GBPUSD,SELL,0.22,2026-08-19 07:00:00+00:00,1.3551,1.3562297183465375,1.353663,2026-08-19 08:08:00+00:00,1.3562297183465375,SL,-25.9538,-1.0443
EURUSD,SELL,0.33,2026-08-19 07:00:00+00:00,1.15946,1.1602108479612068,1.1579125,2026-08-19 08:10:00+00:00,1.1602108479612068,SL,-26.428,-1.0666
EURUSD,SELL,0.23,2026-08-19 09:00:00+00:00,1.15981,1.1608780780889998,1.158129,2026-08-19 09:50:00+00:00,1.1608780780889998,SL,-25.7158,-1.0468
EURUSD,SELL,0.45,2026-08-19 10:00:00+00:00,1.16064,1.1611946439397856,1.1582585,2026-08-19 10:23:00+00:00,1.1611946439397856,SL,-27.209,-1.0901
EURUSD,SELL,0.27,2026-08-19 11:00:00+00:00,1.16064,1.1615621693726579,1.1583865,2026-08-19 12:34:00+00:00,1.1615621693726579,SL,-26.2486,-1.0542
GBPUSD,SELL,0.16,2026-08-19 13:00:00+00:00,1.35947,1.3609417959310552,1.354388,2026-08-19 13:09:00+00:00,1.3609417959310552,SL,-24.3487,-1.034
EURUSD,SELL,0.19,2026-08-19 13:00:00+00:00,1.16358,1.1648481970611184,1.1587865,2026-08-19 13:10:00+00:00,1.1648481970611184,SL,-25.0457,-1.0394
EURUSD,SELL,0.28,2026-08-19 14:00:00+00:00,1.16562,1.1664976115567527,1.1591855,2026-08-19 14:12:00+00:00,1.1664976115567527,SL,-25.9731,-1.057
GBPUSD,SELL,0.17,2026-08-19 14:00:00+00:00,1.36168,1.363090596221694,1.3548035,2026-08-19 14:38:00+00:00,1.363090596221694,SL,-24.8301,-1.0354
EURUSD,SELL,0.12,2026-08-19 15:00:00+00:00,1.16634,1.1683017107312705,1.1596245,2026-08-20 01:34:00+00:00,1.1683017107312705,SL,-24.1405,-1.0255
GBPUSD,SELL,0.18,2026-08-20 08:00:00+00:00,1.36247,1.363787412051065,1.3606724999999997,2026-08-20 08:52:00+00:00,1.363787412051065,SL,-24.6134,-1.038
